adhesion_id,adherent_id,jardin_id,saison_id,date_adhesion,montant
2925,2809,1,1,2023-09-04,5
2926,2810,1,1,2023-09-04,5
2927,2811,1,1,2023-09-04,5
2928,2812,1,1,2023-09-04,5
2929,2813,1,1,2023-09-04,5
2930,2814,1,1,2023-09-04,5
2931,2815,1,1,2023-09-04,5
2932,2816,1,1,2023-09-04,5
2933,2817,1,1,2023-09-04,5
2934,2818,1,1,2023-09-04,5
2935,2819,1,1,2023-09-04,5
2936,2820,1,1,2023-09-04,5
2937,2821,1,1,2023-09-04,5
2938,2822,1,1,2023-09-04,5
2939,2823,1,1,2023-09-04,5
2940,2824,1,1,2023-09-04,5
2941,2825,1,1,2023-09-04,5
2942,2826,1,1,2023-09-04,5
2943,2827,1,1,2023-09-04,5
2944,2828,1,1,2023-09-04,5
2945,2829,1,1,2023-09-04,5
2946,2830,1,1,2023-09-04,5
2947,2831,1,1,2023-09-04,5
2948,2832,1,1,2023-09-04,5
2949,2833,1,1,2023-09-04,5
2950,2834,1,1,2023-09-04,5
2951,2835,1,1,2023-09-04,5
2952,2836,1,1,2023-09-04,5
2953,2837,1,1,2023-09-04,5
2954,2838,1,1,2023-09-04,5
2955,2839,1,1,2023-09-04,5
2956,2840,1,1,2023-09-04,5
2957,2841,1,1,2023-09-04,5
2958,2842,1,1,2023-09-04,5
2959,2843,1,1,2023-09-04,5
2960,2844,1,1,2023-09-04,5
2961,2845,1,1,2023-09-04,5
2962,2846,1,1,2023-09-04,5
2963,2847,1,1,2023-09-04,5
2964,2848,1,1,2023-09-04,5
2965,2849,1,1,2023-09-04,5
2966,2850,1,1,2023-09-04,5
2967,2851,1,1,2023-09-04,5
2968,2852,1,1,2023-09-04,5
2969,2853,1,1,2023-09-04,5
2970,2854,1,1,2023-09-04,5
2971,2855,1,1,2023-09-04,5
2972,2856,1,1,2023-09-04,5
2973,2857,1,1,2023-09-04,5
2974,2858,1,1,2023-09-04,5
2975,2859,1,1,2023-09-04,5
2976,2860,1,1,2023-09-04,5
2977,2861,1,1,2023-09-04,5
2978,2862,1,1,2023-09-04,5
2979,2863,1,1,2023-09-04,5
2980,2864,1,1,2023-09-04,5
2981,2865,1,1,2023-09-04,5
2982,2866,1,1,2023-09-04,5
2983,2867,1,1,2023-09-04,5
2984,2868,1,1,2023-09-04,5
2985,2869,1,1,2023-09-04,5
2987,2874,0,5,2019-11-20,7
2988,2874,0,5,2020-01-18,8
