adhesion_id,adherent_id,jardin_id,saison_id,date_adhesion,montant
1024,113,2,5,2023-01-01,30
1025,674,2,5,2023-01-01,30
1026,1799,2,5,2023-01-01,30
1027,2142,2,5,2023-01-01,30
1028,451,2,5,2023-01-01,30
1029,1717,2,5,2023-01-01,30
1030,42,2,5,2023-01-01,30
1031,1302,2,5,2023-01-01,30
1032,330,2,5,2023-01-01,30
1033,198,2,5,2023-01-01,30
1034,1042,2,5,2023-01-01,30
1035,328,2,5,2023-01-01,30
1036,1742,2,5,2023-01-01,30
1037,1618,2,5,2023-01-01,30
1038,150,2,5,2023-01-01,30
1039,1077,2,5,2023-01-01,30
1040,1314,2,5,2023-01-01,30
1041,720,2,5,2023-01-01,30
1042,1569,2,5,2023-01-01,30
1043,255,2,5,2023-01-01,30
1044,246,2,5,2023-01-01,30
1045,814,2,5,2023-01-01,30
1046,841,2,5,2023-01-01,30
1047,622,2,5,2023-01-01,30
1048,325,2,5,2023-01-01,30
1049,522,2,5,2023-01-01,30
1050,223,2,5,2023-01-01,30
1051,940,2,5,2023-01-01,30
1052,789,2,5,2023-01-01,30
1053,322,2,5,2023-01-01,30
1054,1518,2,5,2023-01-01,30
1055,1443,2,5,2023-01-01,30
1056,1683,2,5,2023-01-01,30
1057,320,2,5,2023-01-01,30
1058,1604,2,5,2023-01-01,30
1059,1464,2,5,2023-01-01,30
1060,499,2,5,2023-01-01,30
1061,951,2,5,2023-01-01,30
1062,689,2,5,2023-01-01,30
1063,251,2,5,2023-01-01,30
1064,1580,2,5,2023-01-01,30
1065,981,2,5,2023-01-01,30
1066,1606,2,5,2023-01-01,30
1067,180,2,5,2023-01-01,30
1068,1419,2,5,2023-01-01,30
1069,1730,2,5,2023-01-01,30
1070,139,2,5,2023-01-01,30
1071,416,2,5,2023-01-01,30
1072,519,2,5,2023-01-01,30
1073,815,2,5,2023-01-01,30
1074,247,2,5,2023-01-01,30
1075,207,2,5,2023-01-01,30
1076,1346,2,5,2023-01-01,30
1077,1405,2,5,2023-01-01,30
1078,196,2,5,2023-01-01,30
1079,747,2,5,2023-01-01,30
1080,2320,2,5,2023-01-01,30
1081,502,2,5,2023-01-01,30
1082,1387,2,5,2023-01-01,30
1083,1649,2,5,2023-01-01,30
1084,934,2,5,2023-01-01,30
1085,821,2,5,2023-01-01,30
1086,2227,2,5,2023-01-01,30
1087,1549,2,5,2023-01-01,30
1088,2260,2,5,2023-01-01,30
1089,1555,2,5,2023-01-01,30
1090,1119,2,5,2023-01-01,30
1091,1590,2,5,2023-01-01,30
1092,1507,2,5,2023-01-01,30
1093,2120,2,5,2023-01-01,30
1094,2118,2,5,2023-01-01,30
1095,1710,2,5,2023-01-01,30
1096,1352,2,5,2023-01-01,30
1097,986,2,5,2023-01-01,30
1098,1562,2,5,2023-01-01,30
1099,1141,2,5,2023-01-01,30
1100,525,2,5,2023-01-01,30
1101,626,2,5,2023-01-01,30
1102,1007,2,5,2023-01-01,30
1103,1428,2,5,2023-01-01,30
1104,332,2,5,2023-01-01,30
1105,1220,2,5,2023-01-01,30
1106,2123,2,5,2023-01-01,30
1107,1432,2,5,2023-01-01,30
1108,1500,2,5,2023-01-01,30
1109,995,2,5,2023-01-01,30
1110,1047,2,5,2023-01-01,30
1111,1454,2,5,2023-01-01,30
1112,265,2,5,2023-01-01,30
1113,1262,2,5,2023-01-01,30
1114,867,2,5,2023-01-01,30
1115,1421,2,5,2023-01-01,30
1116,659,2,5,2023-01-01,30
1117,731,2,5,2023-01-01,30
1118,955,2,5,2023-01-01,30
1119,418,2,5,2023-01-01,30
1120,271,2,5,2023-01-01,30
1121,1325,2,5,2023-01-01,30
1122,274,2,5,2023-01-01,30
1123,826,2,5,2023-01-01,30
1124,1329,2,5,2023-01-01,30
1125,734,2,5,2023-01-01,30
1126,455,2,5,2023-01-01,30
1127,1488,2,5,2023-01-01,30
1128,1108,2,5,2023-01-01,30
1129,1289,2,5,2023-01-01,30
1130,1062,2,5,2023-01-01,30
1131,835,2,5,2023-01-01,30
1132,129,2,5,2023-01-01,30
1133,644,2,5,2023-01-01,30
1134,2259,2,5,2023-01-01,30
1135,1714,2,5,2023-01-01,30
