adresse_id,jardin_id,adresse,codepostal,ville,localisation
76,2,1 rue Moncey,88460,Docelles,01010000005E02017C01771A40ABAEE87BB2124840
65,2,12 rue Armand Colle,88000,Épinal,01010000009F9916ABBCCB1940DD3532D989144840
66,2,15 rue Général de Reffye,88000,Épinal,01010000003F6EBF7CB2BA1940E68D38094A174840
67,2,6 avenue Salvador Allende,88000,Épinal,010100000021730A97FAD619408A8F4FC8CE184840
68,2,rue de la papeterie,88000,Dinozé,01010000006C0E6B8544E5194020A5C810B6114840
69,2,36 bis rue de la Plaine,88190,Golbey,010100000005FE4BAD52C51940ECE52D0DB2184840
70,2,avenue des Terres St Jean,88190,Golbey,010100000037644D767DE0194072B4F4B237184840
71,2,17 rue André Vitu,88000,Épinal,010100000056D7A19A92DC19405F268A90BA164840
72,2,24 rue du Gal de Gaulle,88200,St Nabord,01010000001980FC5BB8521A40F078495288064840
73,2,26 rue de la Joncherie,88200,Remiremont,0101000000E4F32FEEAB5F1A4093A4106D6C024840
74,2,6 Place C. Poncelet,88200,Remiremont,010100000022D85D45EB5D1A408900F1040C024840
75,2,7 Rue du Savron,88220,Raon-aux-Bois,010100000064F72EEFBB031A40A7107E9873064840
77,2,Prairie Claudel,88150,Thaon-les-Vosges,0101000000DFA815A6EFB519405B481BA265204840
78,2,15 rue Ste Barbe,88130,Charmes,01010000003A9A7EE4312E19407F07509D58304840
79,2,15 rue du Maréchal Lyautey,88000,Épinal,01010000004B4E379A6DC81940917D9065C1164840
80,2,Zac Barbazan,88600,Bruyères,010100000053F9E81E23E21A40992E1FA4021A4840
81,2,2 rue de Fraisne,88600,Bruyères,010100000064FE767EF6E01A40D447E00F3F1A4840
82,2,45 boulevard d'Alsace,88400,Gérardmer,0101000000CD00BCAA58811B40D18F2B9A73094840
83,2,24 route du Noirpré,88530,Le Tholy,0101000000E29414B3B9FD1A40E9E225EE670A4840
90,2,9 rue de la Louvière,88000,Épinal,0101000000139447DC08D019402834FF9E0E164840
