abonnement_id,adherent_id,panier_id,date_debut,nombre,montant,mode_paiement_id,saison_id
20966,674,1,2022-01-01,50,0,44,2
20967,1799,2,2022-01-01,25,0,41,2
20968,2273,3,2022-01-01,50,0,41,2
20970,451,1,2022-01-01,50,0,41,2
20971,1717,1,2022-01-01,50,0,41,2
20972,42,1,2022-01-01,50,0,41,2
20973,1302,1,2022-01-01,50,0,41,2
20974,330,1,2022-01-01,50,0,41,2
20975,198,1,2022-01-01,50,0,41,2
20976,1042,1,2022-01-01,50,0,5,2
20977,328,1,2022-01-01,50,0,18,2
20978,1742,1,2022-01-01,50,0,41,2
20979,1618,1,2022-01-01,50,0,41,2
20980,150,3,2022-01-01,50,0,41,2
20981,1077,1,2022-01-01,50,0,41,2
20982,1314,1,2022-01-01,50,0,41,2
20983,720,2,2022-01-01,25,0,18,2
20984,1569,1,2022-01-01,50,0,18,2
20985,255,1,2022-01-01,50,0,41,2
20986,246,3,2022-01-01,50,0,20,2
20988,814,1,2022-01-01,50,0,5,2
20989,841,1,2022-01-01,51,0,5,2
20990,622,1,2022-01-01,50,0,41,2
20992,325,1,2022-01-01,50,0,5,2
20993,522,1,2022-01-01,50,0,41,2
20994,223,1,2022-01-01,50,0,41,2
20995,940,1,2022-01-01,50,0,41,2
20996,789,1,2022-01-01,50,0,41,2
20997,322,1,2022-01-01,50,0,41,2
20999,1518,1,2022-01-01,50,0,41,2
21000,1443,1,2022-01-01,50,0,41,2
21001,1683,1,2022-01-01,50,0,41,2
21002,320,1,2022-01-01,50,0,41,2
21003,1604,1,2022-01-01,50,0,5,2
21004,1464,1,2022-01-01,50,0,5,2
21005,499,1,2022-01-01,50,0,41,2
21006,951,1,2022-01-01,50,0,41,2
21007,689,1,2022-01-01,50,0,41,2
21008,251,1,2022-01-01,50,0,41,2
21009,1580,1,2022-01-01,50,0,20,2
21010,981,1,2022-01-01,50,0,41,2
21011,1606,1,2022-01-01,50,0,41,2
21012,180,1,2022-01-01,50,0,41,2
21013,894,3,2022-06-25,25,0,41,2
21014,1280,1,2022-01-01,50,0,20,2
21015,1419,1,2022-01-01,50,0,41,2
21016,1730,1,2022-01-01,50,0,5,2
21017,139,1,2022-01-01,50,0,5,2
21018,416,1,2022-01-01,50,0,41,2
21019,519,1,2022-01-01,50,0,18,2
21021,1350,1,2022-01-01,50,0,41,2
21022,815,1,2022-01-01,50,0,41,2
21023,1578,2,2022-01-01,25,0,41,2
21024,247,3,2022-01-01,50,0,41,2
21025,598,2,2022-01-01,25,0,43,2
21026,1575,1,2022-01-01,50,0,20,2
21027,207,1,2022-01-01,50,0,41,2
21028,1346,1,2022-01-01,50,0,41,2
21029,1405,1,2022-01-01,51,0,41,2
21030,196,1,2022-01-01,50,0,41,2
21031,747,2,2022-01-01,25,0,1,2
21033,1566,2,2022-08-27,8,0,41,2
21036,502,1,2022-01-01,50,0,41,2
21037,1387,1,2022-01-01,50,0,41,2
21038,2262,3,2022-01-01,50,0,1,2
21039,1649,1,2022-01-01,50,0,41,2
21040,1700,3,2022-01-01,50,0,41,2
21041,934,1,2022-01-01,50,0,5,2
21042,821,1,2022-01-01,50,0,41,2
21044,1549,1,2022-01-01,50,0,41,2
