depot_id,jardin_id,depot,adresse_id,contact_id,capacite
1,1,IUT de Saint Dié des Vosges,1,1,20
2,1,Salle des fêtes de St Michel,2,29,20
3,1,Salle polyvalente d'Étival Clairefontaine,3,39,20
4,1,La Halle aux Blés,4,3,20
5,1,Collège de Baccarat,5,20,20
6,1,Village du livre,6,60,20
7,1,Lycée d'horticulture,7,41,20
8,1,Emmaüs Rambervillers,8,2,20
9,1,Four Grand-Mère,9,38,20
10,1,Fraispertuis City,10,45,20
11,1,Le Gaming 88,11,21,10
12,1,Lycée Georges Baumont,12,55,20
13,1,Nouvelle Salaison des Hautes-Vosges,13,40,20
14,1,Brasserie de l'Abbaye,14,10,20
15,1,Château des princes de Salm,15,48,20
16,1,Château de Belval,16,30,20
17,1,Boulangerie Claulin,17,46,20
18,1,Hôtel Restaurant Julien,18,5,20
19,1,Biscuiterie du Col de Saales,19,22,20
20,1,CC de la Fave,20,50,20
21,1,Association Elan,21,42,20
22,1,Salle Multi-activités,22,9,20
23,1,INSIC,23,27,20
24,1,Salle Polyvalente,24,47,20
25,1,Le Domaine des Bans,25,49,20
26,1,Lycée Hôtellier,26,24,20
27,1,Fromagerie Gérard,27,33,20
28,1,Boucherie de la Place,28,,20
29,1,AFPA Remiremont,29,4,20
30,1,Cabaret Bellecour,30,16,20
31,1,Le Foyer,31,26,20
32,1,Hôpital de Bruyères,32,,20
33,1,Restaurant les Myrtilles,33,8,20
34,1,IFSI,34,44,20
35,1,Mairie de Neuvillers,35,23,20
36,1,Mairie Ban de Laveline,36,17,20
37,1,Centre d'Animation Municipal,37,,20
38,1,Musée des Eaux de Vie,38,31,20
39,1,Evergreen Tomatoes,39,6,20
40,1,Hôtel au Tilleul,40,25,20
41,1,Office du Tourisme de Munster,41,18,20
42,1,Centre les Jonquilles,42,43,20
43,1,Gîte le Vic,43,19,20
44,1,Moulin Clefcy,44,,20
45,1,Le grenier de Papy,45,32,20
46,1,Salle des fêtes de Saulcy,46,7,20
47,1,Lycée professionnel Notre-Dame de la Providence,47,,20
48,1,Foyer rural,48,36,20
49,1,Fromagerie Gourmand’Art,49,,20
50,1,Maison rurale Saulxures,50,,20
51,1,Café Canton,51,12,20
52,1,ENSTIB,52,35,20
53,1,Assotiation AMI,53,,20
54,1,Moustache Bikes,54,13,20
55,1,Moulin de Nomexy,55,,20
56,1,Maison du Livre,56,34,20
57,1,Centre culturel,57,14,20
58,1,Mairie de Gerbéviller,58,,20
59,1,Mairie de Badonviller,59,28,20
60,1,Hôtel des lacs,60,,20
61,1,La chèvre vagabonde,61,15,20
62,1,Resto du coeur,62,,20
63,1,Les jardins de Callunes,63,11,20
64,1,Mairie d'Hurbache,64,37,20
