distribution_id,jardin_id,tournee_id,depot_id,ordre
1,2,1,70,1
2,2,1,84,2
3,2,1,65,5
4,2,1,68,6
5,2,1,66,7
6,2,1,67,9
7,2,2,77,1
8,2,3,67,1
9,2,3,71,2
10,2,3,65,3
11,2,3,66,4
12,2,1,96,4
13,2,1,97,3
14,2,1,98,8
15,2,1,104,10
38,2,3,98,5
39,2,3,105,6
40,2,3,106,8
41,2,3,99,9
42,2,4,70,1
43,2,4,72,3
44,2,4,73,2
45,2,4,103,4
46,2,4,74,5
47,2,4,107,6
48,2,4,108,7
49,2,4,76,8
50,2,4,109,9
76,2,6,77,1
77,2,5,110,2
78,2,8,78,1
79,2,8,95,2
80,2,9,98,1
82,2,9,65,2
83,2,9,102,3
84,2,9,100,4
85,2,9,66,5
86,2,9,111,6
87,2,9,79,7
88,2,9,106,8
89,2,9,67,9
90,2,9,70,10
91,2,9,85,11
92,2,10,81,1
93,2,10,82,3
94,2,10,80,2
95,2,10,83,4
96,2,5,101,1
97,2,11,101,1
98,2,11,110,2
99,2,7,77,1
100,2,12,86,1
