id_abonnement;produit_ar_ref;id_adherent;annee;qte;reglt_mois_depart;MR_No;reglt_mois_nb;nb;nb_initial;DO_Piece;id_abonnement_prec;reste_precedent
28127;APS;4;2025;1;1;41;12;50;50;;26928;2
28128;APS;260265;2025;1;1;41;12;50;50;;26153;0
28129;APS15;258899;2025;1;1;41;12;25;25;AFA250172;26155;0
28130;APS15;259553;2025;1;1;5;12;25;25;;26156;0
28131;APS;356;2025;1;1;41;12;50;50;AFA250226;26157;0
28132;APS;258794;2025;1;1;41;12;50;50;;26158;0
28133;APS;21;2025;1;1;41;12;50;50;;26159;0
29223;ABF1;244231;2025;1;1;41;12;50;0;;0;0
28135;APS;220;2025;1;1;41;12;50;50;;26161;0
28136;APS;121;2025;1;1;41;12;50;50;;26162;0
28137;APS;236077;2025;1;1;41;12;50;50;;26163;0
28138;APS;218;2025;1;1;18;12;50;50;;26164;0
28139;APS;258821;2025;1;1;41;12;50;50;;26165;0
28140;APS;258634;2025;1;1;41;12;50;50;;26166;0
28141;APF;89;2025;1;1;41;12;50;50;;26167;1
28142;APS;257002;2025;1;1;41;12;50;50;;26168;0
28143;APS;258065;2025;1;1;41;12;50;50;;26169;0
28144;APS15;608;2025;1;1;18;12;25;25;;26170;0
28145;APS;258545;2025;1;1;18;12;50;50;;26171;0
28146;APS;18277;2025;1;1;5;12;50;50;;26174;0
28147;APS;28525;2025;1;1;5;12;50;50;;26175;0
28148;APS;512;2025;1;1;41;12;50;50;AFA250225;26176;0
28149;APS;215;2025;1;1;5;12;50;50;;26177;0
28150;APS;424;2025;1;1;41;12;50;50;;26178;0
28151;APS;146;2025;1;1;41;12;50;50;;26179;0
28152;APS;120713;2025;1;1;41;12;50;50;AFA250224;26180;0
28153;APS;7303;2025;1;1;41;12;50;50;AFA250224;26181;0
28154;APS;212;2025;1;1;41;12;50;50;;26182;0
28155;APS;258474;2025;1;1;41;12;50;50;;26183;0
28156;APS;258315;2025;1;1;41;12;50;50;AFA250224;26184;0
28157;APS;258770;2025;1;1;41;12;50;50;;26185;0
28158;APS;258615;2025;1;1;5;12;50;50;AFA250224;26186;0
28159;APS;258355;2025;1;1;5;12;50;50;;26187;0
28160;APS;402;2025;1;1;41;12;50;50;;26188;0
28161;APS;145714;2025;1;1;41;12;50;50;;26189;0
28162;APS;588;2025;1;1;41;12;50;50;;26190;0
29390;ABF2;258685;2025;1;1;41;12;50;0;AFA250261;0;0
28164;APS;258563;2025;1;1;20;12;50;50;;26192;0
28165;APS;258618;2025;1;1;41;12;50;50;;26194;0
28166;APS;106;2025;1;1;41;12;50;50;;26195;0
28167;APS;258809;2025;1;1;5;12;50;50;;26197;0
28168;APS;81;2025;1;1;5;12;50;50;;26198;0
28169;APS;311;2025;1;1;41;12;50;50;;26199;0
28170;APS;423;2025;1;1;41;12;50;50;AFA250222;26200;0
28171;APS;20024;2025;1;1;41;12;50;50;;26201;0
28172;APF;165;2025;1;1;41;12;50;50;;26202;0
28173;APF;258209;2025;1;1;41;12;50;50;;26203;0
28174;APS;128;2025;1;1;41;12;50;50;AFA250222;26204;0
28175;APS;258151;2025;1;1;41;12;50;50;;26205;0
28176;APS;258234;2025;1;1;41;12;50;50;;26206;0
28177;APS;120;2025;1;1;41;12;50;50;;26207;0
28178;APS15;1569;2025;1;1;1;12;25;25;;26208;0
28179;APSS6;31;2025;1;1;41;12;6;6;AFA250163;26209;0
28180;APS;259976;2025;1;1;41;12;50;50;;26210;0
28181;APS;411;2025;1;1;41;12;50;50;;26211;0
28182;APS;258210;2025;1;1;41;12;50;50;;26212;0
28183;APS;258683;2025;1;1;41;12;50;50;;26213;0
