id_calendrier;annee;jour;id_distribution;paniers;semaine;estFerme;aLivre;estLivre
20177;2017;03/01/17;1;0;1;Faux;Faux;Faux
20178;2017;10/01/17;1;0;2;Faux;Faux;Faux
20179;2017;17/01/17;1;0;3;Faux;Faux;Faux
20180;2017;24/01/17;1;0;4;Faux;Faux;Faux
20181;2017;31/01/17;1;0;5;Faux;Faux;Faux
20182;2017;07/02/17;1;0;6;Faux;Faux;Faux
20183;2017;14/02/17;1;0;7;Vrai;Faux;Faux
20184;2017;21/02/17;1;0;8;Faux;Faux;Faux
20185;2017;28/02/17;1;0;9;Faux;Faux;Faux
20186;2017;07/03/17;1;0;10;Faux;Faux;Faux
20187;2017;14/03/17;1;0;11;Faux;Faux;Faux
20188;2017;21/03/17;1;0;12;Faux;Faux;Faux
20189;2017;28/03/17;1;0;13;Faux;Faux;Faux
20190;2017;04/04/17;1;0;14;Faux;Faux;Faux
20191;2017;11/04/17;1;0;15;Faux;Faux;Faux
20192;2017;18/04/17;1;0;16;Faux;Faux;Faux
20193;2017;25/04/17;1;0;17;Faux;Faux;Faux
20194;2017;02/05/17;1;0;18;Faux;Faux;Faux
20195;2017;09/05/17;1;0;19;Faux;Faux;Faux
20196;2017;16/05/17;1;0;20;Faux;Faux;Faux
20197;2017;23/05/17;1;0;21;Faux;Faux;Faux
20198;2017;30/05/17;1;0;22;Faux;Faux;Faux
20199;2017;06/06/17;1;0;23;Faux;Faux;Faux
20200;2017;13/06/17;1;0;24;Faux;Faux;Faux
20201;2017;20/06/17;1;0;25;Faux;Faux;Faux
20202;2017;27/06/17;1;0;26;Faux;Faux;Faux
20203;2017;04/07/17;1;0;27;Faux;Faux;Faux
20204;2017;11/07/17;1;0;28;Faux;Faux;Faux
20205;2017;18/07/17;1;0;29;Faux;Faux;Faux
20206;2017;25/07/17;1;0;30;Faux;Faux;Faux
20207;2017;01/08/17;1;0;31;Faux;Faux;Faux
20208;2017;08/08/17;1;0;32;Faux;Faux;Faux
20209;2017;15/08/17;1;0;33;Faux;Faux;Faux
20210;2017;22/08/17;1;0;34;Faux;Faux;Faux
20211;2017;29/08/17;1;0;35;Faux;Faux;Faux
20212;2017;05/09/17;1;0;36;Faux;Faux;Faux
20213;2017;12/09/17;1;0;37;Faux;Faux;Faux
20214;2017;19/09/17;1;0;38;Faux;Faux;Faux
20215;2017;26/09/17;1;0;39;Faux;Faux;Faux
20216;2017;03/10/17;1;0;40;Faux;Faux;Faux
20217;2017;10/10/17;1;0;41;Faux;Faux;Faux
20218;2017;17/10/17;1;0;42;Faux;Faux;Faux
20219;2017;24/10/17;1;0;43;Faux;Faux;Faux
20220;2017;31/10/17;1;0;44;Faux;Faux;Faux
20221;2017;07/11/17;1;0;45;Faux;Faux;Faux
20222;2017;14/11/17;1;0;46;Faux;Faux;Faux
20223;2017;21/11/17;1;0;47;Faux;Faux;Faux
20224;2017;28/11/17;1;0;48;Faux;Faux;Faux
20225;2017;05/12/17;1;0;49;Faux;Faux;Faux
20226;2017;12/12/17;1;0;50;Faux;Faux;Faux
20227;2017;19/12/17;1;0;51;Faux;Faux;Faux
20228;2017;26/12/17;1;0;52;Vrai;Faux;Faux
20229;2017;03/01/17;2;0;1;Faux;Faux;Faux
20230;2017;10/01/17;2;0;2;Faux;Faux;Faux
20231;2017;17/01/17;2;0;3;Faux;Faux;Faux
20232;2017;24/01/17;2;0;4;Faux;Faux;Faux
20233;2017;31/01/17;2;0;5;Faux;Faux;Faux
20234;2017;07/02/17;2;0;6;Faux;Faux;Faux
20235;2017;14/02/17;2;0;7;Vrai;Faux;Faux
20236;2017;21/02/17;2;0;8;Faux;Faux;Faux
20237;2017;28/02/17;2;0;9;Faux;Faux;Faux
20238;2017;07/03/17;2;0;10;Faux;Faux;Faux
20239;2017;14/03/17;2;0;11;Faux;Faux;Faux
20240;2017;21/03/17;2;0;12;Faux;Faux;Faux
20241;2017;28/03/17;2;0;13;Faux;Faux;Faux
20242;2017;04/04/17;2;0;14;Faux;Faux;Faux
20243;2017;11/04/17;2;0;15;Faux;Faux;Faux
20244;2017;18/04/17;2;0;16;Faux;Faux;Faux
20245;2017;25/04/17;2;0;17;Faux;Faux;Faux
20246;2017;02/05/17;2;0;18;Faux;Faux;Faux
20247;2017;09/05/17;2;0;19;Faux;Faux;Faux
20248;2017;16/05/17;2;0;20;Faux;Faux;Faux
20249;2017;23/05/17;2;0;21;Faux;Faux;Faux
20250;2017;30/05/17;2;0;22;Faux;Faux;Faux
20251;2017;06/06/17;2;0;23;Faux;Faux;Faux
20252;2017;13/06/17;2;0;24;Faux;Faux;Faux
20253;2017;20/06/17;2;0;25;Faux;Faux;Faux
20254;2017;27/06/17;2;0;26;Faux;Faux;Faux
