MR_NO;MR_INTITULE;JA_Annuel
9;Abo Chèque Mensuel x 2;0
12;Abo Chèque Mensuel x 5;0
41;Abo Prélévement Mensuel;12
29;Abo Prélèvement Mensuel x 4;12
37;Abo Prélèvement mensuel x 1;12
36;Abo Prélèvement Trimestriel x 2;12
35;Abo Prélèvement Trimestriel x 1;12
34;Abo Prélèvement Mensuel x 9;12
33;Abo Prélèvement Mensuel x 8;12
32;Abo Prélèvement Mensuel x 7;12
31;Abo Prélèvement Mensuel x 6;12
30;Abo Prélèvement Mensuel x 5;12
18;Abo Chèque Semestriel;12
10;Abo Chèque Mensuel x 3;0
43;Abo Prélévement Trimestriel;10
11;Abo Chèque Mensuel x 4;0
40;Abo Prélévement Annuel;11
39;Abo Prélèvement trimestriel x 3;11
38;Abo Prélèvement semestriel x 1;11
13;Abo Chèque Mensuel x 6;0
5;Abo Chèque Annuel;0
8;Abo Chèque Mensuel x 10;0
6;Abo Chèque Mensuel;0
7;Abo Chèque Mensuel x 1;0
20;Abo Chèque Trimestriel;8
19;Abo Chèque Semestriel x 1;8
28;Abo Prélèvement Mensuel x 3;8
27;Abo Prélèvement Mensuel x 2;8
26;Abo Prélèvement Mensuel x 11;8
25;Abo Prélèvement Mensuel x 10;8
24;Abo Espèces Mensuel;8
23;Abo Chèque trimestriel x 3;8
22;Abo Chèque trimestriel x 2;8
21;Abo Chèque trimestriel x 1;8
47;Cot Carte Bancaire;7
46;Chèque comptant;7
42;Abo Prélévement Semestriel;8
44;Abo Virement Mensuel;6
45;Chèque 30 jours;7
17;Abo Chèque Mensuel x11;0
2;Abo CB Mensuel;0
1;Abo CB Annuel;0
14;Abo Chèque Mensuel x 7;0
16;Abo Chèque Mensuel x 9;0
15;Abo Chèque Mensuel x 8;0
3;Abo CB Semestriel;0
4;Abo CB Trimestriel;0
48;Cot Chèque;0
49;Cot Espèces;0
52;Espèces comptant;0
50;Cot Prélévement;0
54;Virement comptant;0
53;Virement 30 jours;0
51;Cot Virement;0
